customer_name,customer_party_unique_reference_number,customer_code,ods_key,customer_facility_types,customer_facility_party_role_types
SUNEXPRESS,00322683,00288214,00288214,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE
BUYER CREDIT GUARANTEE
BUYER CREDIT GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor
FACILITY CUSTOMER
Ultimate Obligor"
SUPREME COMMITTEE  FOR DELIVERY & LEGACY,00316032,00251199,00251199,"BOND INSURANCE POLICY
BOND INSURANCE POLICY
EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)","FACILITY CUSTOMER
Ultimate Obligor
FACILITY CUSTOMER
Ultimate Obligor"
SURELOCK MCGILL LIMITED,00301388,00294776,00294776,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
SVENSK EXPORTKREDIT AB,00309975,00000693,00000693,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE
BUYER CREDIT GUARANTEE","SOLE LENDER
SYNDICATE LENDER
SYNDICATE LENDER"
SWISS BANK CORPORATION,NULL,00000694,00000694,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
SWISS RE INTERNATIONAL SE,00325309,00270924,00270924,BUYER CREDIT GUARANTEE,RE-INSURER ECA
SWISSAIR SWISS AIR TRANSPORT COMPANY LIMITED,NULL,00000695,00000695,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor"
SX REALISATIONS NO.2 LIMITED,00305568,00003394,00003394,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
SYKES MARINE,00302284,00221295,00221295,"EXPORT INSURANCE (EXIP)
PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
SYNDICATE BANK,00308565,00002046,00002046,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
SYNERGY AEROSPACE CORP,00314410,00213766,00213766,ASSET BASED GUARANTEE,Ultimate Obligor
SYNTEX PHARMACEUTICALS LTD,00303644,00000850,00000850,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
SYNTHOMER PLC,00325362,00290868,00290868,EXPORT DEVELOPMENT GUARANTEE,Ultimate Obligor
SYNTHOMER PLC,00325362,00290881,00290881,EXPORT DEVELOPMENT GUARANTEE,FACILITY CUSTOMER
T D C (ABERDEEN) LIMITED,00324102,00288631,00288631,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
T I GROUP LIMITED,00304662,00003523,00003523,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
T SAVILLE WHITTLE (EXPORT) LIMITED,00301613,00002238,00002238,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
T. A. SAVERY & CO LIMITED,00321920,00286458,00286458,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
T.D.BAILEY & SON LIMITED,00300120,00003506,00003506,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
T.L. ELLIOTT & CO LIMITED,00300526,00003528,00003528,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TACA INTERNATIONAL AIRLINES,NULL,00003569,00003569,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE
SUPPLIER CREDIT FINANCE GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor
FACILITY CUSTOMER"
TAILORED ATHLETE LIMITED,00328855,00295399,00295399,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
TAILORED IMAGE LTD,00307475,00292765,00292765,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
TAIT GROUP INTERNATIONAL LIMITED,00324654,00289615,00289615,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
TAIT TECHNOLOGIES UK LIMITED,00303063,00277044,00277044,"BOND SUPPORT
BOND SUPPORT","FACILITY CUSTOMER
Ultimate Obligor"
TAM - COMPANHIA DE INVESTIMENTOS EM TRANSPORTES SA,NULL,00001741,00001741,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor"
TAM LINHAS AEREAS SA,00312688,00001426,00001426,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor"
TAM S.A.,00314570,00210699,00210699,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor"
TAMBRANDS LIMITED,00302286,00003505,00003505,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TANGENT INTERNATIONAL LIMITED,00303724,00293236,00293236,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
"TANZANIA, MINISTRY OF FINANCE",00324943,00230514,00230514,"BUYER CREDIT GUARANTEE
BUYER CREDIT GUARANTEE
DL LOAN (ENHANCED)
DL LOAN (ENHANCED)","FACILITY CUSTOMER
Ultimate Obligor
FACILITY CUSTOMER
Ultimate Obligor"
TARMAC HOLDINGS PLC,00304673,00003935,00003935,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
TATA STEEL UK LIMITED,00310412,00004450,00004450,"BUYER CREDIT GUARANTEE
EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)
PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE
SUPPLIER CREDIT FINANCE GUARANTEE","PARIS CLUB PAYEE
EXPORTER/OII INVESTOR
UNINSURED AMOUNT
PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE
EXPORTER/OII INVESTOR"
TATE & LYLE (TEWKESBURY) LIMITED,00308580,00003284,00003284,"PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TAYLOR WOODROW CONSTRUCTION LIMITED,00310831,00004270,00004270,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
TAYLOR WOODROW PLC,00300431,00004268,00004268,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TBD (OWEN HOLLAND) LTD,00313214,00275434,00275434,"EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)
EXPORT WORKING CAPITAL SCHEME
EXPORT WORKING CAPITAL SCHEME
GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","EXPORTER/OII INVESTOR
UNINSURED AMOUNT
FACILITY CUSTOMER
Ultimate Obligor
FACILITY CUSTOMER
Ultimate Obligor"
TCB-ARROW LIMITED,00310231,00229187,00229187,"EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)","EXPORTER/OII INVESTOR
UNINSURED AMOUNT"
TD BANK N.A.,00300012,00239689,00239689,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE
ASSET BASED GUARANTEE
BUYER CREDIT GUARANTEE","LEAD/AGENT BANK
SOLE LENDER
SYNDICATE LENDER
SYNDICATE LENDER"
TEAL GROUP HOLDINGS LIMITED,00321726,00296252,00296252,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
TECALEMIT GARAGE EQUIPMENT COMPANY LIMITED,00303067,00003508,00003508,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TECHFLOW MARINE LIMITED,00309743,00237038,00237038,"BOND SUPPORT
BOND SUPPORT
GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor
FACILITY CUSTOMER
Ultimate Obligor"
TECHNICHE UK LTD,00305532,00277523,00277523,"EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)","EXPORTER/OII INVESTOR
UNINSURED AMOUNT"
TECHNIP OFFSHORE UK LIMITED,00308716,00004091,00004091,SUPPLIER CREDIT FINANCE GUARANTEE,EXPORTER/OII INVESTOR
TECNIMONT S.P.A,00310746,00001702,00001702,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
TEDDINGTON CONTROLS LIMITED,00303353,00003509,00003509,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TEKMAR GROUP PLC,00322125,00286728,00286728,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
TELENT LIMITED,00300755,00004178,00004178,"BUYER CREDIT GUARANTEE
BUYER CREDIT GUARANTEE
PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TELENT TECHNOLOGY SERVICES LIMITED,00303915,00004179,00004179,"BUYER CREDIT GUARANTEE
PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TELERAM COMPANY LIMITED,00303079,00003510,00003510,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TEMPLE FIELDS 515 LIMITED,00300240,00003511,00003511,"PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TENAGA NASIONAL BERHAD (TNB),NULL,00001315,00001315,"BOND INSURANCE POLICY
BOND INSURANCE POLICY
BUYER CREDIT GUARANTEE
BUYER CREDIT GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor
FACILITY CUSTOMER
Ultimate Obligor"
TENNECO CANADA INC.& COS CARRING ON BUSINESS IN UK AS CASE TRACTORS EXP.,NULL,00003764,00003764,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TENSAR INTERNATIONAL LIMITED,00301729,00003894,00003894,"EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)
PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
UNINSURED AMOUNT
PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TEREX LIMITED,00302154,00003193,00003193,"PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TERMHOPE LIMITED,00303514,00003512,00003512,"PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
TERMINATOR BREAKER COMPANY LTD,00307767,00266485,00266485,"EXPORT WORKING CAPITAL SCHEME
EXPORT WORKING CAPITAL SCHEME","FACILITY CUSTOMER
Ultimate Obligor"
TESAB ENGINEERING LTD,00307601,00275748,00275748,"EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)
SUPPLIER CREDIT FINANCE GUARANTEE","EXPORTER/OII INVESTOR
UNINSURED AMOUNT
EXPORTER/OII INVESTOR"
TETRONICS (INTERNATIONAL) LIMITED,00303758,00221244,00221244,"BOND SUPPORT
BOND SUPPORT
SUPPLIER CREDIT FINANCE GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor
EXPORTER/OII INVESTOR"
THAI AIRWAYS INTERNATIONAL PUBLIC COMPANY LIMITED,00312563,00003672,00003672,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor"
THALES AIR DEFENCE LIMITED,00308017,00215062,00215062,BUYER CREDIT GUARANTEE,EXPORTER/OII INVESTOR
THALES ATM LTD,00310847,00004575,00004575,"BUYER CREDIT GUARANTEE
EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)
SUPPLIER CREDIT FINANCE GUARANTEE","EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR
UNINSURED AMOUNT
EXPORTER/OII INVESTOR"
THALES COMMUNICATIONS LIMITED,00306783,00004471,00004471,"PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THALES DEFENCE LIMITED,00308608,00004470,00004470,"BUYER CREDIT GUARANTEE
PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","EXPORTER/OII INVESTOR
PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THALES TRAINING & SIMULATION LIMITED,00302172,00004472,00004472,"BUYER CREDIT GUARANTEE
EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)","EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR
UNINSURED AMOUNT"
THALES UK LIMITED,00308608,00206901,00206901,"BOND INSURANCE POLICY
BUYER CREDIT GUARANTEE
EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)","EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR
UNINSURED AMOUNT"
THALES UK LIMITED - READING OFFICE,00318857,00293903,00293903,"BOND INSURANCE POLICY
BUYER CREDIT GUARANTEE","EXPORTER/OII INVESTOR
EXPORTER/OII INVESTOR"
THANET INTERNATIONAL LIMITED,00309564,00003514,00003514,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THE BANK OF FUKUOKA LTD,00312926,00237544,00237544,ASSET BASED GUARANTEE,SYNDICATE LENDER
THE BANK OF TOKYO-MITSUBISHI UFJ LTD,00314397,00240504,00240504,BUYER CREDIT GUARANTEE,SYNDICATE LENDER
THE BOEING COMPANY,00321865,00271788,00271788,"ASSET BASED GUARANTEE
EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)","EXPORTER/OII INVESTOR
FACILITY CUSTOMER
Ultimate Obligor"
THE CO-OPERATIVE BANK PLC,00312239,00005682,00005682,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THE DAISHI BANK LTD,NULL,00254017,00254017,ASSET BASED GUARANTEE,SYNDICATE LENDER
THE GOODLIFE OUTDOOR COMPANY LIMITE D,00325932,00290824,00290824,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
THE GREAT OUTDOOR GYM COMPANY LTD,00328669,00294956,00294956,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
THE GRIFFITHS GROUP LIMITED,00322697,00287389,00287389,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
THE HACHIJUNI BANK LTD,NULL,00237557,00237557,ASSET BASED GUARANTEE,SYNDICATE LENDER
THE HIROSHIMA BANK LTD,NULL,00237563,00237563,ASSET BASED GUARANTEE,SYNDICATE LENDER
THE HONG KONG AND SHANGHAI BANKING CORPORATION LIMITED,NULL,00223243,00223243,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE","LEAD/AGENT BANK
SYNDICATE LENDER"
THE HONG KONG AND SHANGHAI BANKING CORPORATION LTD,00327243,00292823,00292823,ASSET BASED GUARANTEE,SYNDICATE LENDER
THE HYAKUGO BANK LTD,NULL,00249604,00249604,ASSET BASED GUARANTEE,SYNDICATE LENDER
THE INTERNET RETAILER LIMITED,00329229,00296333,00296333,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
THE MEDICAL WAREHOUSE LIMITED,00315073,00289978,00289978,SUPPLIER CREDIT FINANCE GUARANTEE,EXPORTER/OII INVESTOR
THE METAL FOUNDRY LIMITED,00326021,00290778,00290778,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
THE MINES ADVISORY GROUP,00322245,00286874,00286874,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
THE MONOBUOY COMPANY LTD,00307835,00253096,00253096,"BOND SUPPORT
BOND SUPPORT","FACILITY CUSTOMER
Ultimate Obligor"
THE NAISSANCE TRADING & INNOVATION COMPANY LTD,00317470,00295638,00295638,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
THE QATAR ARMED FORCES,NULL,00276111,00276111,"BOND INSURANCE POLICY
BOND INSURANCE POLICY
EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)","FACILITY CUSTOMER
Ultimate Obligor
FACILITY CUSTOMER
Ultimate Obligor"
THE ROYAL BANK OF SCOTLAND,00307565,00005711,00005711,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THE ROYAL BANK OF SCOTLAND,00307669,00005708,00005708,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THE SAVILE ROW COMPANY LIMITED,00307895,00273917,00273917,"EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)","EXPORTER/OII INVESTOR
UNINSURED AMOUNT"
THE SHIZUOKA BANK LTD,NULL,00237572,00237572,ASSET BASED GUARANTEE,SYNDICATE LENDER
THE SURFACE PRINT COMPANY LIMITED,00328375,00294334,00294334,"EXPORT WORKING CAPITAL SCHEME
EXPORT WORKING CAPITAL SCHEME","FACILITY CUSTOMER
Ultimate Obligor"
"THE TORONTO- DOMINION BANK (""TD)",00326477,00293326,00293326,"ASSET BASED GUARANTEE
ASSET BASED GUARANTEE","LEAD/AGENT BANK
SYNDICATE LENDER"
THE VIRTUAL FORGE LIMITED,00329178,00296214,00296214,"GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor"
THEODORE GODDARD,00308978,00005695,00005695,PARIS CLUB CI TRANCHE,PARIS CLUB PAYEE
THEODORE GODDARD LIMITED,00308978,00003515,00003515,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THERMCO SYSTEMS LIMITED,00313331,00281113,00281113,"BOND SUPPORT
BOND SUPPORT
GENERAL EXPORT FACILITY
GENERAL EXPORT FACILITY","FACILITY CUSTOMER
Ultimate Obligor
FACILITY CUSTOMER
Ultimate Obligor"
THERMO ELECTRON MANUFACTURING LIMITED,00310727,00000870,00000870,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THERMO SHANDON LIMITED,00304627,00003516,00003516,"PARIS CLUB CI TRANCHE
PARIS CLUB FD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THG OPERATIONS HOLDINGS LTD,00325466,00290753,00290753,"EXPORT DEVELOPMENT GUARANTEE
EXPORT DEVELOPMENT GUARANTEE","FACILITY CUSTOMER
Ultimate Obligor"
THIEN LINH TRADING CO. LTD,00317532,00278944,00278944,"EXPORT INSURANCE (EXIP)
EXPORT INSURANCE (EXIP)","FACILITY CUSTOMER
Ultimate Obligor"
THOMAS B. RAMSDEN & CO. (BRADFORD) LIMITED,00301711,00003517,00003517,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
THOMAS BELL LIMITED,00308121,00003518,00003518,"PARIS CLUB CI TRANCHE
PARIS CLUB OD TRANCHE","PARIS CLUB PAYEE
PARIS CLUB PAYEE"
